Product Name,Price
"Soft Jersey Straight-Leg Mid-Rise Pant \
Regular",98.0
"UnderEase Mid-Rise Bikini Underwear \
3 Pack",48.0
"Wundermost Ultra-Soft Nulu Scoop-Neck Bralette \
A-D Cups",38.0
"UnderEase Mid-Rise Thong Underwear \
3 Pack",48.0
Hold Tight Straight Hem Cropped T-Shirt,58.0
"Bend This Scoop and Cross Bra \
Light Support, A-C Cups",48.0
Brushed Softstreme Ribbed Half Zip,118.0
"lululemon Align\'99 High-Rise Pant 28"" \
Shine",118.0
"Inner Glow High-Rise Short 3""",68.0
Wundermost Ultra-Soft Nulu Mid-Rise Bikini Underwear,26.0
Adapted State High-Rise Cropped Jogger,118.0
"Wunder Train High-Rise Short 8""",64.0
"Bend This Scoop and Square Bra \
Light Support, A-C Cups",48.0
Ultralight Waist-Length Tank Top,48.0
"Nulu Strappy V-Neck Yoga Bra \
Light Support, A/B Cup",58.0
"Quick Dry Short-Sleeve Polo Shirt \
Straight Hem",78.0
"Wundermost Ultra-Soft Nulu Triangle Bralette \
A\'96D Cups",38.0
"lululemon Align\'99 High-Rise Pant 25"" \
Shine",118.0
"Ebb to Street Scoop-Neck Cropped Tank Top \
Light Support, B/C Cup",68.0
Down for It All Vest,168.0
Down For It All Hooded Jacket,228.0
"UnderEase Mid-Rise Bikini Underwear \
5 Pack",74.0
Ultralight Hip-Length Tank Top,48.0
Back In Action V-Neck Long-Sleeve Shirt,68.0
"SenseKnit Running High-Rise Tight 28""",168.0
"lululemon Energy Bra \
High Support, B\'96DDD Cups",58.0
Ribbed Softstreme Mockneck Cropped Tank Top,58.0
Wundermost Ultra-Soft Nulu Square-Neck Spaghetti-Strap Bodysuit,78.0
"Like a Cloud Ribbed Bra \
Light Support, B/C Cup",58.0
Wundermost Ultra-Soft Nulu Dipped-Waist Thong Underwear,22.0
Wunder Puff Jacket,298.0
License to Train Tight-Fit Tank Top,58.0
Tie-Back Lightweight Yoga Tank Top,58.0
Push Your Pace Vest,128.0
"lululemon Align\'99 Cropped Cami Tank Top \
Light Support, C/D Cup",68.0
"Modal High-Rise Relaxed-Fit Lounge Short 3.5""",58.0
"Scuba Mid-Rise Oversized Jogger \
Short",118.0
"Stretch Woven Relaxed-Fit High-Rise Short 4""",88.0
"City Sleek Barrel-Leg Pant \
Light Utilitech",128.0
"Envital Bra \
Medium Support, D/DD Cup",48.0
Hood Lite Jacket,148.0
Cityverse Women's Canvas Sneaker,138.0
"Modal-Blend Pleated High-Rise Trouser \
Regular",148.0
Lightweight Sleeveless Polo Tennis Dress,128.0
Sculpt Long-Sleeve Shirt,78.0
"UnderEase High-Rise Thong Underwear \
3 Pack",48.0
"Pack It Down Jacket \
Logo",198.0
"UnderEase Mid-Rise Thong Underwear \
5 Pack",74.0
lululemon Align\'99 Short-Sleeve Dress,148.0
"Wundermost Ultra-Soft Nulu Super-High-Rise Shortie Underwear 2""",28.0
"Breathable Running Short-Sleeve Shirt \
Graphic",78.0
Wundermost Ultra-Soft Nulu Crewneck Long-Sleeve Shirt,78.0
"License to Train Triangle Bra \
Light Support, A/B Cup",48.0
"Ribbed Softstreme High-Rise Short 2""",88.0
